timestamp1,time,sigma_atm_diff
2026-01-23_09-41,09:41,4257.01
2026-01-23_10-04,10:04,6107.23
2026-01-23_10-23,10:23,6247.24
2026-01-23_10-24,10:24,6324.72
2026-01-23_10-33,10:33,8587.28
2026-01-23_10-49,10:49,9161.64
2026-01-23_10-54,10:54,7075.33
2026-01-23_11-08,11:08,4739.13
2026-01-23_11-17,11:17,3548.65
2026-01-23_11-21,11:21,2688.05
2026-01-23_11-24,11:24,1685.65
2026-01-23_11-28,11:28,1902.41
2026-01-23_11-48,11:48,1971.54
2026-01-23_11-50,11:50,606.44
2026-01-23_11-55,11:55,-1735.53
2026-01-23_12-04,12:04,-3048.58
2026-01-23_12-25,12:25,-6076.15
2026-01-23_12-28,12:28,-6007.55
2026-01-23_12-31,12:31,-7502.11
2026-01-23_12-50,12:50,-9794.28
2026-01-23_12-55,12:55,-8150.09
2026-01-23_12-58,12:58,-9200.26
2026-01-23_13-02,13:02,-8660.4
2026-01-23_13-13,13:13,-10479.2
2026-01-23_13-16,13:16,-10560.48
2026-01-23_13-18,13:18,-10004.23
2026-01-23_13-24,13:24,-10703.18
2026-01-23_13-25,13:25,-11972.37
2026-01-23_13-29,13:29,-15162.03
2026-01-23_13-46,13:46,-21702.93
2026-01-23_13-52,13:52,-25344.96
2026-01-23_14-12,14:12,-29872.18
2026-01-23_14-19,14:19,-30056.19
2026-01-23_14-20,14:20,-31872.6
2026-01-23_14-33,14:33,-29666.0
